lat,lng,name
37.70863988,-122.4319047,Krabby
37.75174395,-122.4979775,Rattata
37.46973438,-122.2656103,Pidgey
37.77542606,-122.2067516,Zubat
37.82654986,-122.2099436,Weedle
37.53803979,-122.3736694,Spearow
37.52284951,-122.0385965,Zubat
37.83576973,-122.26242,Pinsir
37.8801749,-122.241858,Wartortle
37.78311572,-122.2648127,Caterpie
37.71363677,-122.4280115,Venonat
37.40502019,-121.9765929,Rattata
37.36848593,-122.0096421,Eevee
37.30061569,-121.9661074,Paras
37.85674274,-122.2527599,Zubat
37.34547715,-122.0239426,Paras
37.36065609,-122.0296268,Paras
37.78587766,-122.4250916,Zubat
37.657613,-122.3975692,Zubat
37.60089009,-121.9916973,Nidoran♀
37.42365135,-122.1968204,Weedle
37.88605163,-122.5438589,Nidoran♀
37.82435656,-122.1983279,Nidoran (f)
37.62735846,-122.0662113,Zubat
37.79399862,-122.158772,Eevee
37.48472233,-122.1787292,Hitmonchan
37.7367693,-122.3958876,Zubat
37.79770874,-122.3885411,Caterpie
37.5025481,-121.9459334,Rattata
37.72795185,-122.4761347,Staryu
37.41928828,-122.2121601,Pidgey
37.59372486,-122.0478318,Pidgey
37.61627709,-122.4313738,Fearow
37.39255749,-122.1965544,Spearow
37.55401667,-121.9591758,Rattata
37.32963562,-121.982546,Mankey
37.4613494,-121.8971272,Eevee
37.35799769,-122.0461446,Rattata
37.5222198,-122.2691549,Pidgey
37.85960506,-122.5753188,Psyduck
37.54887694,-121.9503773,Paras
37.74570628,-122.1203552,Dratini
37.56347343,-122.0310478,Squirtle
37.40798995,-122.1103273,Zubat
37.79379162,-122.4513682,Spearow
37.74439575,-122.4365055,Rattata
37.84838843,-122.3701283,Zubat
37.7307293,-122.379158,Spearow
37.79761174,-122.394914,Psyduck
37.29777382,-122.0458782,Pidgey
37.73602185,-122.4211097,Spearow
37.7214997,-122.4905497,Spearow
37.81519363,-122.2456693,Spearow
37.62614245,-122.4943521,Staryu
37.96153011,-122.3370125,Eevee
37.57236203,-122.3403777,Rattata
37.67587607,-122.1068662,Ekans
37.65425048,-122.4092516,Pidgey
37.85585822,-122.2658761,Doduo
37.73597377,-122.4108446,Zubat
37.57919701,-122.3765908,Poliwag
37.32664371,-122.0154158,Rattata
37.65264684,-122.082191,Doduo
37.4149816,-121.8637773,Pidgey
37.90079809,-122.5288326,Oddish
37.36135108,-121.8574619,Zubat
37.92445205,-122.3449825,Rattata
37.83417529,-122.4221715,Pidgey
37.76067749,-122.4474758,Zubat
37.63758265,-121.8898356,Paras
37.71223751,-122.3833185,Pidgey
37.48666597,-121.9237111,Rattata
37.8721182,-122.5334291,Pinsir
37.54315451,-122.3633112,Rattata
37.80911232,-122.2592296,Spearow
37.44269294,-121.9189993,Rattata
37.74163437,-122.1671101,Staryu
37.40048676,-122.1093511,Pidgey
37.80486556,-122.2670282,Krabby
37.7055683,-122.4288078,Eevee
37.34253338,-121.8560387,Rattata
37.38888538,-122.1459088,Zubat
37.67168051,-122.364108,Rattata
37.49359641,-122.261711,Ekans
37.8013423,-122.2227105,Doduo
37.92643309,-122.3622487,Doduo
37.7871135,-122.4142959,Zubat
37.4177316,-122.1536269,Pidgey
37.9732594,-122.3445397,Spearow
37.33232358,-121.9103755,Spearow
37.54504524,-122.276687,Pidgey
37.75279673,-122.1610784,Pidgey
37.38685668,-121.9636192,Ekans
37.53785376,-122.0018249,Rattata
37.88540548,-122.5303353,Caterpie
37.32587859,-121.9188215,Dugtrio
37.89870267,-122.2601158,Zubat
37.74268127,-122.4134994,Vulpix
37.29768928,-121.8784525,Zubat
37.72378509,-122.1666666,Pidgey
37.57668696,-122.0524492,Ekans
37.55228133,-121.9828126,Rhyhorn
37.59526968,-122.0570664,Paras
37.93473927,-122.3574676,Doduo
37.69698097,-122.4838289,Nidoran♀
37.48465951,-121.9468222,Rattata
37.47157706,-122.2774844,Oddish
37.35993378,-121.9087751,Zubat
37.78184759,-122.4273037,Zubat
37.8867782,-122.5316612,Zubat
37.77363088,-122.1857355,Eevee
37.83313851,-122.23716,Eevee
37.55601629,-122.0599076,Paras
37.70745894,-122.1310033,Machop
37.78372842,-122.3000772,Goldeen
37.59336426,-122.3890722,Venonat
37.74878712,-122.1972638,Psyduck
37.2829627,-122.0488974,Paras
